SSL(t-1),SSL(t),q(t-1),q(t)
5.5,2.1,2.5,1.8
2.1,1.6,1.8,1.8
1.6,0.9,1.8,1.4
0.9,0.6,1.4,1.2
0.6,0.5,1.2,1.1
0.5,0.4,1.1,1
0.4,0.4,1,1
0.4,0.5,1,0.9
0.5,0.5,0.9,1
0.5,0.4,1,0.9
0.4,0.4,0.9,0.9
0.4,0.4,0.9,0.8
0.4,0.4,0.8,0.8
0.4,0.3,0.8,0.8
0.3,0.3,0.8,0.8
0.3,0.4,0.8,0.9
0.4,0.3,0.9,0.8
0.3,0.3,0.8,0.8
0.3,0.3,0.8,0.8
0.3,0.3,0.8,0.9
0.3,0.2,0.9,0.8
0.2,0.2,0.8,0.8
0.2,0.3,0.8,1
0.3,0.3,1,0.9
0.3,0.2,0.9,0.9
0.2,0.2,0.9,0.8
0.2,0.3,0.8,0.9
0.3,0.2,0.9,0.9
0.2,0.2,0.9,0.8
0.2,0.4,0.8,1
0.4,1.6,1,1.6
1.6,1.5,1.6,1.8
1.5,1.5,1.8,1.8
1.5,7.7,1.8,3.1
7.7,3.8,3.1,2.3
3.8,235.2,2.3,14.9
235.2,55.6,14.9,10
55.6,8.5,10,3.8
8.5,4.1,3.8,2.7
4.1,3,2.7,2.3
3,2.7,2.3,2.1
2.7,2.8,2.1,2.1
2.8,2.9,2.1,2
2.9,2.8,2,1.9
2.8,3.3,1.9,2
3.3,60.3,2,17
60.3,343.1,17,34
343.1,122.4,34,23.3
122.4,14,23.3,8.5
14,7,8.5,6
7,4.4,6,5.2
4.4,3.1,5.2,4.3
3.1,2.4,4.3,3.8
2.4,1.9,3.8,3.4
1.9,1.8,3.4,3.5
1.8,2.1,3.5,3.6
2.1,2,3.6,3.6
2,4.9,3.6,7.3
4.9,6.6,7.3,6.1
6.6,3.9,6.1,4.9
3.9,2.6,4.9,4.1
2.6,2,4.1,3.6
2,1.9,3.6,3.5
1.9,2.3,3.5,3.5
2.3,2.2,3.5,3.2
2.2,1.9,3.2,3
1.9,1.6,3,2.9
1.6,2,2.9,3.2
2,1.7,3.2,3
1.7,1.4,3,2.7
1.4,1.3,2.7,2.6
1.3,1.2,2.6,2.5
1.2,1.1,2.5,2.4
1.1,1,2.4,2.3
1,1,2.3,2.3
1,0.9,2.3,2.2
0.9,0.9,2.2,2.1
0.9,0.9,2.1,2.2
0.9,0.8,2.2,2.1
0.8,0.8,2.1,2.1
0.8,0.9,2.1,2.1
0.9,0.9,2.1,2.1
0.9,1,2.1,2.3
1,1.5,2.3,2.6
1.5,3.8,2.6,3.6
3.8,2.1,3.6,3
2.1,1.3,3,2.7
1.3,23.4,2.7,6.4
23.4,46,6.4,9.4
46,24.9,9.4,10
24.9,12.2,10,8.2
12.2,5.3,8.2,6.2
5.3,3.6,6.2,5.3
3.6,2.4,5.3,4.6
2.4,2,4.6,4
2,1.8,4,3.5
1.8,1.5,3.5,3.2
1.5,1.3,3.2,3
1.3,1.8,3,2.7
1.8,1.1,2.7,2.6
1.1,1.4,2.6,2.7
1.4,10.6,2.7,5.2
10.6,12.3,5.2,6.4
12.3,5.8,6.4,6
5.8,6,6,6.1
6,4.4,6.1,5.6
4.4,2.6,5.6,4.7
2.6,10.8,4.7,6.7
10.8,28.8,6.7,8.8
28.8,15.7,8.8,8.4
15.7,6.6,8.4,6.9
6.6,4.3,6.9,6.2
4.3,3.5,6.2,6
3.5,4.7,6,6.4
4.7,3.6,6.4,6.1
3.6,3.3,6.1,5.9
3.3,43.2,5.9,8.6
43.2,86,8.6,15.3
86,9.8,15.3,8
9.8,6,8,7
6,4.3,7,6.4
4.3,19.4,6.4,8.9
19.4,9.3,8.9,7.8
9.3,4.8,7.8,6.5
4.8,3.2,6.5,5.8
3.2,3,5.8,5.5
3,2.7,5.5,5.3
2.7,2.4,5.3,5
2.4,265.3,5,27
265.3,78.1,27,18.9
78.1,17.3,18.9,10.7
17.3,10.1,10.7,9
10.1,5.9,9,7.4
5.9,4.3,7.4,6.7
4.3,3.6,6.7,6.3
3.6,3.4,6.3,5.8
3.4,3.2,5.8,5.6
3.2,3,5.6,5.5
3,4.3,5.5,5.9
4.3,8.6,5.9,7.3
8.6,4.5,7.3,6.3
4.5,3.6,6.3,6
3.6,4.8,6,6.6
4.8,4.1,6.6,6.3
4.1,3.1,6.3,5.5
3.1,2.3,5.5,4.7
2.3,1.8,4.7,4.1
1.8,1.7,4.1,3.9
1.7,1.6,3.9,3.8
1.6,1.5,3.8,3.7
1.5,1.3,3.7,3.6
1.3,1.8,3.6,3.5
1.8,1.3,3.5,3.4
1.3,1.2,3.4,3.3
1.2,1.2,3.3,3.2
1.2,1.1,3.2,3.2
1.1,1.1,3.2,3.2
1.1,1,3.2,3.1
1,1,3.1,3.1
1,1,3.1,3.1
1,1,3.1,3.1
1,1,3.1,3
1,1.2,3,3.4
1.2,1,3.4,3.1
1,0.9,3.1,3
0.9,2.7,3,4
2.7,1.8,4,3.6
1.8,4.6,3.6,4.6
4.6,5.4,4.6,5.1
5.4,2.7,5.1,4
2.7,1.7,4,3.3
1.7,1.3,3.3,3
1.3,1.2,3,2.9
1.2,1.1,2.9,2.7
1.1,1,2.7,2.6
1,0.9,2.6,2.6
0.9,1,2.6,2.6
1,0.9,2.6,2.5
0.9,0.8,2.5,2.5
0.8,0.7,2.5,2.4
0.7,0.8,2.4,2.5
0.8,1.1,2.5,2.8
1.1,0.9,2.8,2.6
0.9,0.8,2.6,2.8
0.8,6.9,2.8,5
6.9,4.2,5,4
4.2,1.5,4,3
1.5,1.1,3,2.7
1.1,1,2.7,2.6
1,0.9,2.6,2.5
0.9,0.8,2.5,2.5
0.8,0.8,2.5,2.5
0.8,0.7,2.5,2.4
0.7,2.1,2.4,3.6
2.1,2,3.6,3.3
2,1,3.3,2.9
1,1.1,2.9,2.8
1.1,1,2.8,2.7
1,0.8,2.7,2.5
0.8,0.7,2.5,2.3
0.7,0.7,2.3,2.2
0.7,1,2.2,2.5
1,0.7,2.5,2.1
0.7,0.6,2.1,2
0.6,0.6,2,1.9
0.6,0.6,1.9,1.8
0.6,0.6,1.8,1.8
0.6,0.6,1.8,1.7
0.6,0.6,1.7,1.6
0.6,0.7,1.6,1.7
0.7,0.9,1.7,1.9
0.9,0.9,1.9,1.7
0.9,0.7,1.7,1.6
0.7,1,1.6,1.8
1,1.8,1.8,1.7
1.8,1,1.7,1.6
1,1,1.6,1.6
1,0.9,1.6,1.5
0.9,1,1.5,1.4
1,0.9,1.4,1.4
0.9,2.1,1.4,1.8
2.1,14.3,1.8,3.7
14.3,3.5,3.7,2.3
3.5,1.7,2.3,1.8
1.7,1.4,1.8,1.6
1.4,1.2,1.6,1.5
1.2,1.3,1.5,1.6
1.3,2.9,1.6,2.1
2.9,2.1,2.1,2
2.1,11.2,2,2.8
11.2,20.8,2.8,4.5
20.8,21.7,4.5,6.1
21.7,9.5,6.1,4.5
9.5,3.6,4.5,2.8
3.6,16.3,2.8,2.4
16.3,2.7,2.4,2
2.7,3.2,2,2.2
3.2,58.9,2.2,4.3
58.9,4.1,4.3,2.2
4.1,2.3,2.2,1.9
2.3,5.6,1.9,2.2
5.6,15.1,2.2,2.4
15.1,3.7,2.4,2.4
3.7,2.8,2.4,2.2
2.8,2.4,2.2,2
2.4,32.1,2,5.8
32.1,21,5.8,5.3
21,4.1,5.3,2.7
4.1,2.6,2.7,2.2
2.6,2.3,2.2,2
2.3,2,2,1.8
2,1.8,1.8,1.7
1.8,1.7,1.7,1.5
1.7,1.7,1.5,1.5
1.7,2.4,1.5,1.7
2.4,2.3,1.7,1.4
2.3,2.1,1.4,1.4
2.1,1.8,1.4,1.4
1.8,1.6,1.4,1.3
1.6,1.5,1.3,1.3
1.5,1.6,1.3,1.3
1.6,1.7,1.3,1.4
1.7,1.3,1.4,1.2
1.3,1.3,1.2,1.3
1.3,1.3,1.3,1.1
1.3,1.3,1.1,1.3
1.3,1.2,1.3,1.1
1.2,1.1,1.1,1.1
1.1,1.1,1.1,1.1
1.1,1.1,1.1,1.2
1.1,1.7,1.2,1.4
1.7,2.9,1.4,1.7
2.9,10.1,1.7,3.2
10.1,2.9,3.2,1.9
2.9,1.3,1.9,1.5
1.3,1.5,1.5,1.6
1.5,1.3,1.6,1.4
1.3,1.1,1.4,1.2
1.1,1,1.2,1.1
1,1.2,1.1,1.2
1.2,1.2,1.2,1.2
1.2,3.6,1.2,1.9
3.6,5.4,1.9,2.2
5.4,2.6,2.2,1.8
2.6,1.6,1.8,1.4
1.6,3.9,1.4,2.2
3.9,5.9,2.2,1.8
5.9,2.1,1.8,1.6
2.1,1.2,1.6,1.2
1.2,5,1.2,2.2
5,2.6,2.2,1.6
2.6,1.3,1.6,1.2
1.3,1.3,1.2,1.3
1.3,1.3,1.3,1.3
1.3,13.6,1.3,3.7
13.6,2.8,3.7,1.8
2.8,1.4,1.8,1.4
1.4,1.1,1.4,1.2
1.1,1.2,1.2,1.2
1.2,1.1,1.2,1.2
1.1,1,1.2,1.2
1,0.9,1.2,1.1
0.9,0.9,1.1,1.1
0.9,0.9,1.1,1
0.9,0.8,1,0.9
0.8,0.8,0.9,0.9
0.8,0.8,0.9,0.9
0.8,0.8,0.9,0.9
0.8,0.7,0.9,0.8
0.7,0.7,0.8,0.8
0.7,1.4,0.8,1.2
1.4,0.8,1.2,0.9
0.8,0.7,0.9,0.9
0.7,0.7,0.9,0.8
0.7,0.6,0.8,0.7
0.6,0.6,0.7,0.7
0.6,0.5,0.7,0.7
0.5,0.6,0.7,0.6
0.6,0.5,0.6,0.6
0.5,0.5,0.6,0.7
0.5,0.4,0.7,0.6
0.4,0.4,0.6,0.6
0.4,0.4,0.6,0.6
0.4,0.4,0.6,0.6
0.4,0.4,0.6,0.6
0.4,1.9,0.6,1.3
1.9,0.9,1.3,0.9
0.9,0.6,0.9,0.8
0.6,0.5,0.8,0.8
0.5,0.5,0.8,0.7
0.5,0.5,0.7,0.7
0.5,0.5,0.7,0.7
0.5,0.4,0.7,0.6
0.4,0.5,0.6,0.7
0.5,0.6,0.7,0.6
0.6,0.5,0.6,0.5
0.5,0.6,0.5,0.7
0.6,2.9,0.7,1.7
2.9,8.7,1.7,3.4
8.7,4.6,3.4,2.6
4.6,1.4,2.6,1.3
1.4,0.7,1.3,1
0.7,0.6,1,0.9
0.6,0.5,0.9,0.8
0.5,0.5,0.8,0.8
0.5,0.5,0.8,0.8
0.5,0.5,0.8,0.8
0.5,0.5,0.8,0.8
0.5,0.5,0.8,0.8
0.5,0.5,0.8,0.8
0.5,0.5,0.8,0.8
0.5,0.6,0.8,0.8
0.6,0.6,0.8,0.9
0.6,0.6,0.9,1
0.6,0.8,1,1.1
0.8,0.4,1.1,0.9
0.4,0.7,0.9,1.3
0.7,0.8,1.3,1.3
0.8,0.5,1.3,1.1
0.5,0.4,1.1,1
0.4,0.4,1,1
0.4,0.5,1,1
0.5,0.4,1,1
0.4,0.6,1,1
0.6,0.7,1,1
0.7,0.6,1,1
0.6,0.4,1,0.8
0.4,0.3,0.8,0.8
0.3,0.3,0.8,0.8
0.3,0.6,0.8,1
0.6,1.3,1,1.5
1.3,3.7,1.5,2.3
3.7,1.5,2.3,1.7
1.5,0.9,1.7,1.5
0.9,0.8,1.5,1.5
0.8,1.5,1.5,2
1.5,1.3,2,1.8
1.3,0.6,1.8,1.4
0.6,0.6,1.4,1.2
0.6,0.5,1.2,1.3
0.5,0.4,1.3,1.2
0.4,0.4,1.2,1.1
0.4,0.4,1.1,1.2
0.4,0.4,1.2,1.3
0.4,0.5,1.3,1.4
0.5,0.4,1.4,1.2
0.4,0.5,1.2,1.3
0.5,0.5,1.3,1.4
0.5,0.4,1.4,1.3
0.4,0.4,1.3,1.3
0.4,0.4,1.3,1.4
0.4,0.7,1.4,1.7
0.7,1.4,1.7,2.1
1.4,2.4,2.1,2.1
2.4,0.9,2.1,1.5
0.9,0.5,1.5,1.3
0.5,0.4,1.3,1.3
0.4,5.5,1.3,3.2
5.5,15.4,3.2,4.6
15.4,10.4,4.6,4.4
10.4,21.4,4.4,6.4
21.4,12.5,6.4,5.9
12.5,4.1,5.9,3.1
4.1,1.8,3.1,2.4
1.8,1.4,2.4,2.1
1.4,1.1,2.1,1.9
1.1,1,1.9,1.8
1,0.9,1.8,1.7
0.9,0.8,1.7,1.7
0.8,0.6,1.7,1.6
0.6,0.6,1.6,1.6
0.6,0.5,1.6,1.5
0.5,0.5,1.5,1.4
0.5,0.5,1.4,1.5
0.5,0.5,1.5,1.4
0.5,0.4,1.4,1.2
0.4,0.4,1.2,1.2
0.4,0.4,1.2,1.2
0.4,0.3,1.2,1
0.3,0.3,1,1.1
0.3,0.3,1.1,1.2
0.3,0.4,1.2,1.2
0.4,0.4,1.2,1.4
0.4,0.8,1.4,1.7
0.8,1.2,1.7,2
1.2,2.4,2,2.4
2.4,1.1,2.4,2
1.1,0.7,2,1.8
0.7,0.5,1.8,1.6
0.5,0.5,1.6,1.5
0.5,0.4,1.5,1.5
0.4,0.4,1.5,1.4
0.4,0.4,1.4,1.4
0.4,0.4,1.4,1.4
0.4,0.4,1.4,1.3
0.4,0.4,1.3,1.5
0.4,0.7,1.5,1.8
0.7,1.2,1.8,2.3
1.2,1.7,2.3,2.5
1.7,1,2.5,2.1
1,0.8,2.1,1.9
0.8,0.6,1.9,1.7
0.6,0.5,1.7,1.4
0.5,0.4,1.4,1.4
0.4,0.4,1.4,1.5
0.4,0.4,1.5,1.4
0.4,0.3,1.4,1.4
0.3,0.4,1.4,1.4
0.4,0.4,1.4,1.5
0.4,0.4,1.5,1.9
0.4,0.4,1.9,1.5
0.4,0.4,1.5,1.5
0.4,0.3,1.5,1.4
0.3,0.3,1.4,1.4
0.3,0.4,1.4,1.5
0.4,0.5,1.5,1.7
0.5,0.5,1.7,1.6
0.5,0.4,1.6,1.6
0.4,0.4,1.6,1.5
0.4,0.3,1.5,1.4
0.3,0.3,1.4,1.4
0.3,0.3,1.4,2.1
0.3,0.3,2.1,1.8
0.3,0.3,1.8,1.4
0.3,0.3,1.4,1.4
0.3,0.3,1.4,1.4
0.3,0.3,1.4,1.3
0.3,0.2,1.3,1.3
0.2,0.2,1.3,1.3
0.2,0.2,1.3,1.3
0.2,0.2,1.3,1.2
0.2,0.3,1.2,1.3
0.3,0.3,1.3,1.2
0.3,0.5,1.2,1.4
0.5,0.5,1.4,1.4
0.5,0.5,1.4,1.4
0.5,0.5,1.4,1.5
0.5,0.6,1.5,1.6
0.6,1.2,1.6,2.2
1.2,1.1,2.2,2
1.1,0.7,2,1.7
0.7,0.6,1.7,1.5
0.6,0.6,1.5,1.4
0.6,0.5,1.4,1.4
0.5,0.5,1.4,1.3
0.5,0.4,1.3,1.3
0.4,0.3,1.3,1.1
0.3,0.6,1.1,0.9
0.6,0.5,0.9,0.9
0.5,0.5,0.9,1
0.5,5,1,1.4
5,15.5,1.4,1.9
15.5,17.4,1.9,2
17.4,28.9,2,3.1
28.9,225.8,3.1,13.1
225.8,77.8,13.1,14.2
77.8,58.3,14.2,16.8
58.3,20.7,16.8,9.3
20.7,7.1,9.3,5.2
7.1,4.3,5.2,3.7
4.3,2.5,3.7,3.2
2.5,2.4,3.2,3.1
2.4,3,3.1,3.7
3,3.8,3.7,4.2
3.8,2.7,4.2,3.5
2.7,1.6,3.5,2.8
1.6,1.3,2.8,2.5
1.3,2.9,2.5,3.4
2.9,5.2,3.4,4.6
5.2,2.5,4.6,3.6
2.5,7.6,3.6,5.1
7.6,8.7,5.1,5.1
8.7,3.2,5.1,3.5
3.2,1.8,3.5,3
1.8,1.4,3,2.7
1.4,1.5,2.7,2.7
1.5,1.3,2.7,2.5
1.3,1.1,2.5,2.3
1.1,1,2.3,2.2
1,6.4,2.2,3.8
6.4,55,3.8,10.5
55,12.4,10.5,6.9
12.4,4.4,6.9,4.2
4.4,4.2,4.2,4.1
4.2,3.9,4.1,4
3.9,3,4,3.4
3,2.6,3.4,3
2.6,2.2,3,2.7
2.2,2,2.7,2.4
2,1.7,2.4,2.3
1.7,1.6,2.3,2.1
1.6,1.7,2.1,2.1
1.7,1.6,2.1,2
1.6,1.6,2,1.9
1.6,1.7,1.9,2
1.7,1.6,2,1.8
1.6,1.5,1.8,1.8
1.5,1.6,1.8,1.8
1.6,1.5,1.8,1.7
1.5,1.4,1.7,1.7
1.4,1.3,1.7,1.6
1.3,1.3,1.6,1.5
1.3,1.2,1.5,1.5
1.2,1.1,1.5,1.4
1.1,1.1,1.4,1.4
1.1,1.1,1.4,1.4
1.1,1.2,1.4,1.4
1.2,1.1,1.4,1.4
1.1,1.1,1.4,1.4
1.1,1.2,1.4,1.5
1.2,1.3,1.5,1.5
1.3,1.2,1.5,1.4
1.2,1.1,1.4,1.4
1.1,1.1,1.4,1.3
1.1,1.3,1.3,1.5
1.3,1.2,1.5,1.5
1.2,1.1,1.5,1.3
1.1,1,1.3,1.3
1,1.6,1.3,1.7
1.6,1.4,1.7,1.6
1.4,1.2,1.6,1.4
1.2,1.1,1.4,1.4
1.1,1,1.4,1.2
1,0.9,1.2,1.2
0.9,1.5,1.2,1.7
1.5,1.4,1.7,1.6
1.4,1.6,1.6,1.8
1.6,1.7,1.8,1.8
1.7,1.2,1.8,1.4
1.2,1.1,1.4,1.3
1.1,1,1.3,1.2
1,1,1.2,1.2
1,1,1.2,1.2
1,0.9,1.2,1.1
0.9,1,1.1,1.2
1,1.1,1.2,1.3
1.1,1.5,1.3,1.6
1.5,1.9,1.6,2
1.9,1.1,2,1.3
1.1,0.9,1.3,1.1
0.9,0.9,1.1,1
0.9,0.8,1,1
0.8,2.8,1,2.5
2.8,1.2,2.5,1.3
1.2,1,1.3,1.1
1,0.9,1.1,1.1
0.9,0.8,1.1,0.9
0.8,0.7,0.9,0.9
0.7,0.8,0.9,0.9
0.8,0.7,0.9,0.9
0.7,0.7,0.9,0.8
0.7,0.6,0.8,0.8
0.6,0.7,0.8,0.8
0.7,0.8,0.8,1
0.8,0.6,1,0.8
0.6,0.6,0.8,0.7
0.6,0.7,0.7,0.9
0.7,5.5,0.9,3.6
5.5,1.7,3.6,1.7
1.7,1.3,1.7,1.4
1.3,1.7,1.4,1.7
1.7,1,1.7,1.1
1,0.8,1.1,1
0.8,1.5,1,1.5
1.5,0.8,1.5,1
0.8,0.7,1,0.8
0.7,0.7,0.8,0.8
0.7,0.6,0.8,0.8
0.6,0.6,0.8,0.7
0.6,0.6,0.7,0.7
0.6,0.6,0.7,0.7
0.6,0.6,0.7,0.7
0.6,0.6,0.7,0.7
0.6,0.6,0.7,0.7
0.6,0.6,0.7,0.7
0.6,0.7,0.7,0.8
0.7,2,0.8,1.8
2,0.7,1.8,0.8
0.7,0.6,0.8,0.7
0.6,0.6,0.7,0.7
0.6,0.6,0.7,0.7
0.6,0.7,0.7,0.8
0.7,1.2,0.8,1.2
1.2,1,1.2,1.1
1,0.6,1.1,0.7
0.6,0.6,0.7,0.7
0.6,0.6,0.7,0.7
0.6,0.6,0.7,0.6
0.6,0.5,0.6,0.6
0.5,0.5,0.6,0.6
0.5,0.8,0.6,0.8
0.8,0.6,0.8,0.7
0.6,0.5,0.7,0.6
0.5,0.8,0.6,0.8
0.8,2,0.8,1.9
2,1.1,1.9,1.1
1.1,1.2,1.1,1.3
1.2,0.7,1.3,0.8
0.7,4.4,0.8,3.1
4.4,1.3,3.1,1.4
1.3,0.8,1.4,0.9
0.8,0.7,0.9,0.8
0.7,0.6,0.8,0.7
0.6,3.5,0.7,2.7
3.5,1.2,2.7,1.2
1.2,0.7,1.2,0.8
0.7,0.7,0.8,0.8
0.7,1,0.8,1.1
1,1.5,1.1,1.5
1.5,1.9,1.5,1.9
1.9,2,1.9,1.9
2,1.2,1.9,1.3
1.2,0.9,1.3,1
0.9,0.7,1,0.8
0.7,1,0.8,1.1
1,0.7,1.1,0.8
0.7,1.2,0.8,1.2
1.2,0.9,1.2,1
0.9,0.8,1,0.9
0.8,0.7,0.9,0.8
0.7,0.6,0.8,0.7
0.6,0.6,0.7,0.7
0.6,0.5,0.7,0.6
0.5,0.7,0.6,0.6
0.7,4.2,0.6,1.8
4.2,8.3,1.8,2.2
8.3,1.5,2.2,1
1.5,0.8,1,0.9
0.8,0.7,0.9,0.8
0.7,0.7,0.8,0.8
0.7,1.6,0.8,1.1
1.6,0.9,1.1,0.8
0.9,0.7,0.8,0.7
0.7,2.1,0.7,1.3
2.1,0.9,1.3,0.8
0.9,0.7,0.8,0.7
0.7,0.6,0.7,0.7
0.6,0.5,0.7,0.8
0.5,0.5,0.8,0.8
0.5,0.6,0.8,0.8
0.6,2.1,0.8,1.6
2.1,0.8,1.6,1
0.8,0.6,1,0.9
0.6,0.5,0.9,0.8
0.5,0.4,0.8,0.7
0.4,0.7,0.7,1
0.7,2.3,1,2
2.3,1.2,2,1.5
1.2,1.5,1.5,1.5
1.5,0.8,1.5,1.1
0.8,0.6,1.1,1
0.6,0.4,1,0.9
0.4,0.4,0.9,0.8
0.4,0.4,0.8,0.8
0.4,0.5,0.8,0.8
0.5,0.5,0.8,0.9
0.5,0.5,0.9,0.8
0.5,0.4,0.8,0.8
0.4,0.5,0.8,0.8
0.5,3.8,0.8,3.5
3.8,3.5,3.5,3.4
3.5,1.4,3.4,1.9
1.4,1,1.9,1.5
1,1.2,1.5,1.7
1.2,1,1.7,1.5
1,0.8,1.5,1.3
0.8,0.7,1.3,1.2
0.7,0.6,1.2,1.1
0.6,0.6,1.1,1.1
0.6,0.5,1.1,1
0.5,0.5,1,1
0.5,0.5,1,1
0.5,0.4,1,1
0.4,0.4,1,1
0.4,0.5,1,1.1
0.5,0.5,1.1,1.1
0.5,0.7,1.1,1.3
0.7,0.6,1.3,1.3
0.6,2.6,1.3,3
2.6,1.6,3,2.4
1.6,1,2.4,1.8
1,0.9,1.8,1.7
0.9,1.2,1.7,2
1.2,2,2,2.7
2,2.6,2.7,3.2
2.6,1.4,3.2,2.2
1.4,1.3,2.2,2.1
1.3,1.3,2.1,2.1
1.3,1.2,2.1,1.9
1.2,1,1.9,1.7
1,0.8,1.7,1.4
0.8,0.7,1.4,1.3
0.7,0.7,1.3,1.2
0.7,0.6,1.2,1.2
0.6,0.7,1.2,1.3
0.7,0.7,1.3,1.3
0.7,0.8,1.3,1.4
0.8,1,1.4,1.7
1,0.9,1.7,1.6
0.9,0.9,1.6,1.5
0.9,0.9,1.5,1.5
0.9,0.9,1.5,1.6
0.9,1.6,1.6,2.2
1.6,1.7,2.2,2.3
1.7,7.8,2.3,5.2
7.8,8.9,5.2,4.6
8.9,2.2,4.6,2.4
2.2,1,2.4,2
1,0.7,2,1.8
0.7,0.5,1.8,1.6
0.5,0.4,1.6,1.6
0.4,0.5,1.6,1.7
0.5,2.3,1.7,2.6
2.3,1.1,2.6,1.9
1.1,0.8,1.9,1.7
0.8,1.1,1.7,2.2
1.1,0.8,2.2,2
0.8,3.5,2,3.3
3.5,11,3.3,4.8
11,5.1,4.8,4.3
5.1,3.6,4.3,3.7
3.6,2.1,3.7,3
2.1,2.1,3,3
2.1,1.7,3,2.8
1.7,1.4,2.8,2.5
1.4,1.3,2.5,2.5
1.3,1.4,2.5,2.7
1.4,2.7,2.7,3.5
2.7,7.7,3.5,5
7.7,2,5,3.3
2,1.3,3.3,2.7
1.3,4.2,2.7,3.8
4.2,7.4,3.8,5.1
7.4,1.9,5.1,3.6
1.9,30.1,3.6,8
30.1,18.2,8,7.6
18.2,3.3,7.6,4.6
3.3,1.9,4.6,3.7
1.9,1.5,3.7,3.2
1.5,1.2,3.2,2.9
1.2,1.1,2.9,2.7
1.1,1.2,2.7,2.8
1.2,2,2.8,3.2
2,1.8,3.2,3.2
1.8,4.1,3.2,4
4.1,2.9,4,3.7
2.9,1.4,3.7,2.9
1.4,5,2.9,4.2
5,15.8,4.2,6.9
15.8,4.5,6.9,4.4
4.5,7.8,4.4,5.6
7.8,5.1,5.6,5.5
5.1,3,5.5,4.4
3,1.9,4.4,3.6
1.9,1.5,3.6,3.3
1.5,1.2,3.3,3
1.2,1.1,3,2.9
1.1,2,2.9,3.3
2,11.5,3.3,6.7
11.5,5.2,6.7,5.4
5.2,38.1,5.4,8.9
38.1,18.4,8.9,8.1
18.4,5.7,8.1,5.8
5.7,3.2,5.8,4.6
3.2,2.5,4.6,4.3
2.5,2,4.3,3.8
2,1.8,3.8,3.6
1.8,113.2,3.6,11.9
113.2,98.5,11.9,10.6
98.5,42.1,10.6,11.7
42.1,659.4,11.7,26.6
659.4,83.6,26.6,22.5
83.6,22.6,22.5,13.1
22.6,15.9,13.1,11.4
15.9,9.8,11.4,8.7
9.8,6.7,8.7,7.4
6.7,5.4,7.4,6.6
5.4,4.7,6.6,6.1
4.7,3.9,6.1,5.5
3.9,3.4,5.5,5
3.4,3.5,5,4.8
3.5,2.8,4.8,4.4
2.8,2.4,4.4,4.1
2.4,25.3,4.1,8
25.3,16.3,8,9.3
16.3,11.8,9.3,8.1
11.8,14.1,8.1,9.4
14.1,5.4,9.4,6.8
5.4,4,6.8,6
4,3.1,6,5
3.1,3.3,5,5.3
3.3,23.4,5.3,9.7
23.4,23.2,9.7,13
23.2,11.3,13,9.9
11.3,7.4,9.9,8.5
7.4,7.5,8.5,8.5
7.5,11.8,8.5,9.9
11.8,12.5,9.9,10.5
12.5,10.9,10.5,9.1
10.9,35.3,9.1,15.4
35.3,14.1,15.4,10.5
14.1,7,10.5,8.1
7,5,8.1,6.8
5,3.8,6.8,5.8
3.8,3.5,5.8,5.4
3.5,3.2,5.4,4.9
3.2,2.8,4.9,4.6
2.8,2.6,4.6,4.4
2.6,2.4,4.4,4.1
2.4,2.3,4.1,4
2.3,2.3,4,4
2.3,2.3,4,3.7
2.3,2.5,3.7,3.5
2.5,2.1,3.5,3.4
2.1,2.1,3.4,3.4
2.1,2,3.4,3.3
2,1.7,3.3,3.1
1.7,1.6,3.1,2.9
1.6,1.6,2.9,2.8
1.6,1.6,2.8,2.7
1.6,1.4,2.7,2.6
1.4,1.4,2.6,2.4
1.4,1.4,2.4,2.3
1.4,1.4,2.3,2.2
1.4,1.8,2.2,2.6
1.8,1.4,2.6,2.3
1.4,1.2,2.3,2.1
1.2,1.2,2.1,2.1
1.2,1.2,2.1,2
1.2,1.3,2,2
1.3,1.3,2,2
1.3,1.1,2,2
1.1,1.2,2,2
1.2,1.3,2,2.3
1.3,1.9,2.3,2.4
1.9,1.2,2.4,2.4
1.2,1.4,2.4,2.8
1.4,2.1,2.8,3.2
2.1,53.6,3.2,7
53.6,22.1,7,7.4
22.1,10.9,7.4,7.1
10.9,4.7,7.1,4.8
4.7,3.5,4.8,4.2
3.5,4.1,4.2,4.5
4.1,2.4,4.5,3.5
2.4,2.1,3.5,3.1
2.1,1.7,3.1,2.9
1.7,1.6,2.9,2.8
1.6,1.5,2.8,2.7
1.5,1.4,2.7,2.7
1.4,1.6,2.7,2.8
1.6,1.8,2.8,2.9
1.8,1.6,2.9,2.8
1.6,1.4,2.8,2.6
1.4,1.5,2.6,2.7
1.5,5.4,2.7,4.5
5.4,2.9,4.5,3.5
2.9,2.1,3.5,3.1
2.1,2,3.1,3
2,2.1,3,3.1
2.1,1.8,3.1,2.9
1.8,1.6,2.9,2.8
1.6,1.6,2.8,2.8
1.6,1.6,2.8,2.9
1.6,1.3,2.9,2.6
1.3,1.3,2.6,2.4
1.3,1.2,2.4,2.3
1.2,1.2,2.3,2.3
1.2,3.7,2.3,3.7
3.7,2.4,3.7,3.2
2.4,1.5,3.2,2.7
1.5,1.4,2.7,2.5
1.4,1.3,2.5,2.3
1.3,1.3,2.3,2.4
1.3,1.4,2.4,2.3
1.4,1.2,2.3,2.2
1.2,1.1,2.2,2
1.1,1.3,2,2
1.3,1.1,2,1.9
